,index,artist,id,album_id,genres,genre
1897,43000,Lyfe Jennings,7tRtLPGJpat3fq2RmlkqP2,6DFijupaihUXMxRvYvVe52,NA,"deep pop r&b, hip pop, neo soul, new jack swing, r&b, southern hip hop, urban contemporary"
1898,43023,Citizen,627jgiIyvXxfNEPpCTGP1w,57RfRNFb1EVxwzmebHHIUJ,NA,"alternative emo, anthem emo, emo, melodic hardcore"
1899,43033,Lindemann,6hvBZMTNAJTCei1BxEATzK,0koBPzLDxkhwKrKb3JmJ9n,NA,neue deutsche harte
1900,43059,Jessie J,7uuTroBz1MfbnIozLykCEM,2rDIivxBafNKpgRqlzIRSb,NA,"australian pop, dance pop, pop, pop rap, post-teen pop, r&b, uk pop, viral pop"
1901,43074,Don Trip,3rLoH9KuLV6C8qsKlZL0Rg,4MNNST5crP0hJReBWVzbYh,NA,"deep southern trap, dirty south rap, gangster rap, southern hip hop, trap music"
1902,43091,Desaparecidos,2bS83HL9u0Wg31zwUlp7ut,0znk4I7BChCGG8SZ5nRneU,NA,"emo, indie folk, omaha indie"
1903,43105,Rickie Lee Jones,3HH3xLCPuVy5O1fpaxDW9F,1aRHXwuP4iV9hXJEZ2CEVp,NA,"folk, folk rock, lilith, mellow gold, new wave pop, roots rock, singer-songwriter"
1904,43116,Tyler Farr,7yBcGJFP5bAMpAfToEm0dm,2aUyGuWWZhUTBoBb3l2ym5,NA,"contemporary country, country, country pop, country road, modern country rock, redneck"
1905,43201,Ryn Weaver,6a9xC2DBEMDcfwjuHioMFO,4967HGjmvsMtcOZ3AaPfI4,NA,"electropop, indie poptimism, indietronica, shimmer pop"
1906,43223,mewithoutYou,6gY8DeDFpSYreXyeJroREW,4HZ79K6LKnrTegU2MqlLyy,NA,"dreamo, emo, indie folk, indie rock, modern rock, philly indie, progressive post-hardcore, screamo, stomp and holler"
1907,43234,Walk Off The Earth,0gF8D0YtCwdlZPsu0Tx9T1,0znuTvl59JCTczo6F0NLEV,NA,canadian rock
1908,43246,Giorgio Moroder,3LhzK64EhKUB3SZn1iPSU3,09IChrkzmFo9ZZroCRYujr,NA,"disco, italian disco"
1909,43258,Don Omar,4joRJ9BbN4S3PxvCehX73Y,57mWSm5UtRGT08KeJuyZqu,NA,"latin, latin hip hop, pop, reggaeton, tropical"
1910,43270,Amos Lee With The Colorado Symphony,18QTDKyOQfbvJoYJlZtRJt,1D6WxSqWQEUDES1s9nVvd4,NA,"acoustic pop, folk-pop, indie folk, lilith, neo mellow, new americana, pop rock"
1911,43304,MIKA,4IImv2GZtrvWeq79ECDapt,19N3nhHlow4Lc4uiN8IUeA,NA,"dance pop, europop, pop"
1912,43318,Big Smo,7nh1YGMy50Qav828OgoPhE,2zYo2piUhJuWo4jOwdNlKC,NA,"redneck, vietnamese hip hop"
1913,43324,Our Last Night,5jEPn1VWCNAsIbRqqZ9mXx,0pbiqnwqPsgFV8EAvGx77A,NA,"metalcore, post-screamo, screamo"
1914,43345,The Willis Clan,3QIWHN1LQ0CxSUjryESiQF,2UaLCriKEIVCzjmPkl3uE5,NA,
1915,43434,iwrestledabearonce,6me4CT1VdDjMzW1lSoXmOI,5IjRWYlSdfUEPw0GVYEU5Z,NA,"deathcore, mathcore, melodic metalcore, nintendocore, screamo"
1916,43459,The Robert Glasper Trio,7w2iZimNBEINLFr3klb5kI,77g5kcDy0ZiKzH2dWHbvK9,NA,"contemporary jazz, contemporary post-bop, indie jazz, jazz, jazz fusion, neo r&b, neo soul"
1917,43553,Troy Ave,13cPXCEWHOz6FJwexP5cgq,2rXfo1q5FDNoloBmgZeim4,NA,"pop rap, rap, southern hip hop, trap music, battle rap, east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop, trap music"
1918,43570,Morgan Page,7AGgc7BQjTF4IO6bjxQ2tY,21c76kAFkBXFvGnKglGLZ6,NA,"big room, dance pop, edm, electro house, pop edm, progressive electro house, progressive house, scottish singer-songwriter"
1919,43606,The Tenors,4cS3OUwfPKA4XbExLIU0ZR,57yCqymFbrUqzn2Nvj9KGJ,NA,operatic pop
1920,43623,North Point InsideOut,13r3tr54ISRkocjgiYgYhf,2lEAHW9pdH9fWTbIgngkqK,NA,"anthem worship, ccm, world worship, worship"
1921,43658,Dom Kennedy,2i3QOzoKnEjrlU0Ex5xpCH,0tuOColD9mAZ4SGt4qtvEx,NA,"cali rap, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, west coast trap"
1922,43669,Indigo Girls,5MUO6F24eXMbDIGvl3a0bD,0euj6llNfFte5ZGl5hhquK,NA,"folk, folk-pop, lilith, pop rock"
1923,43682,Zella Day,0LHDbGSfNjABn3blcYfeFF,600XgAY1N6sRPVczmBogiF,NA,"electropop, gauze pop, indie poptimism, pop"
1924,43694,Four Year Strong,3XhuGBxYID6w1KBNqHw81v,3vV8Tam4ubcWalQSGZWuC8,NA,"alternative emo, anthem emo, easycore, emo, melodic hardcore, neon pop punk, pop punk, screamo"
1925,43705,Chiquis Rivera,2Jba4ttLKDiYBW3zqFIHXK,2BqNXoveCYfp7c6DJLSUEO,NA,regional mexican pop
1926,43719,Jedi Mind Tricks,4q4Fs3TJLF0VwzdKRD8wPA,4TwVDBmAV1DXSwXbGu5vGD,NA,"conscious hip hop, gangster rap, hardcore hip hop, hip hop, philly rap"
