,artist,trap,hip hop,indie,punk,rap,jazz,pop,metal,country,folk,bluegrass,house,rock,opera,classical,instrumental,funk,broadway,genre
5028,Save Ferris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"modern ska punk, ska, ska punk"
5029,Tru,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"deep southern trap, dirty south rap, gangster rap, new orleans rap, southern hip hop"
5030,2nd II None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"gangster rap, west coast rap"
5031,Jimmie's Chicken Shack,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"funk metal, post-grunge"
5032,Chris Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"comedy, comic"
5033,Steve Wariner,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"country, country gospel, country rock, nashville sound, traditional country"
5034,Tal Bachman,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,pop rock
5035,Ibrahim Ferrer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"bolero, cuban rumba, latin jazz, mambo, world"
5036,Boyzone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"australian pop, boy band, bubblegum dance, dance pop, europop"
5037,Coko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gospel
5038,5th Ward Boyz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"dirty south rap, dirty texas rap, gangster rap"
5039,The Moody Blues,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"album rock, art rock, blues-rock, british invasion, classic rock, folk, folk rock, hard rock, mellow gold, progressive rock, psychedelic rock, rock, soft rock, symphonic rock"
5040,Slick Rick,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, old school hip hop, pop rap, rap, southern hip hop, alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, new jersey rap, pop rap, rap, southern hip hop, conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop"
5041,Rahzel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"east coast hip hop, hip hop, turntablism"
5042,Bryan White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"contemporary country, country, country gospel"
5043,John Popper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5044,Jordan Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5045,EPMD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"east coast hip hop, electro, gangster rap, hardcore hip hop, hip hop, old school hip hop, rap, turntablism"
5046,O.G.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hardcore hip hop, hip hop"
5047,The High & Mighty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"hardcore hip hop, philly rap, turntablism"
5048,Jethro Tull,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"album rock, art rock, blues-rock, classic rock, folk rock, hard rock, progressive rock, psychedelic rock, rock, symphonic rock"
5049,Blessid Union Of Souls,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"cowpunk, neo mellow, pop rock, post-grunge"
5050,Lo Fidelity Allstars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"big beat, breakbeat, electronic"
5051,Lil' Cease,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nyc rap
5052,New Radicals,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,pop rock
5053,Tracie Spencer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"new jack swing, urban contemporary"
5054,Luscious Jackson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"alternative pop, lilith"
5055,Joey McIntyre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5056,The Verve Pipe,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"pop rock, post-grunge"
5057,Sway And King Tech,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"boston hip hop, east coast hip hop, hip hop, alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, jazz boom bap, turntablism"
5058,Geri Halliwell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"australian pop, bubblegum dance, dance pop, electropop, europop"
5059,Heavy D,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,"east coast hip hop, electro, funk, hardcore hip hop, hip hop, hip house, hip pop, new jack swing, old school hip hop, quiet storm, rap, urban contemporary, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
5060,Great White,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"album rock, classic rock, glam metal, hard rock, metal, rock"
5061,Los Tri-o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bolero, ranchera"
5062,Big Mike,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,houston rap
5063,The Jerky Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"comedy, prank"
5064,Biohazard,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"alternative metal, crossover thrash, funk metal, groove metal, hardcore, nu metal, nyhc, rap metal, rap rock"
5065,Orbital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"big beat, breakbeat, drum and bass, electronic, hardcore techno, intelligent dance music, trip hop"
5066,Shanice,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hip pop, new jack swing, quiet storm, r&b, urban contemporary"
5067,T.D. Jakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5068,Joe Diffie,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"contemporary country, country, country gospel, country road, country rock, outlaw country, redneck, traditional country"
5069,Total,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hip hop, hip pop, neo soul, new jack swing, r&b, southern hip hop, urban contemporary"
5070,Sammy Kershaw,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"contemporary country, country, country gospel, country road, country rock, nashville sound, outlaw country, texas country, traditional country, contemporary country, country, country dawn, country gospel, nashville sound, traditional country"
5071,"Emmylou Harris, Linda Ronstadt, Dolly Parton",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"country, country dawn, traditional country, adult standards, country rock, folk, folk rock, heartland rock, lilith, mellow gold, singer-songwriter, soft rock, traditional folk, alternative country, country rock, folk, folk rock, folk-pop, lilith, melancholia, mellow gold, nashville sound, outlaw country, red dirt, roots rock, singer-songwriter, traditional country, traditional folk"
5072,Joe Sample Featuring Lalah Hathaway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"jazz funk, jazz fusion, jazz piano, smooth jazz, neo r&b, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary"
